ID_site;Bloc;Coupe;Exclos;Analogue;Nord;Est;Sud;Ouest;Moyenne;Ouverture ;Fermeture
ACTAEA1;A;totale;avec;1;94;52;19;68;58;61;39
ACTAEA2;A;totale;avec;2;96;66;96;96;89;92;8
ACTAEA3;A;totale;avec;3;76;76;94;96;86;89;11
ACTSEA1;A;totale;sans;1;96;65;68;81;78;81;19
ACTSEA2;A;totale;sans;2;0;4;56;61;30;31;69
ACTSEA3;A;totale;sans;3;6;49;25;9;22;23;77
ACPAEA1;A;partielle;avec;1;7;1;0;0;2;2;98
ACPAEA2;A;partielle;avec;2;0;4;21;2;7;7;93
ACPAEA3;A;partielle;avec;3;30;9;30;24;23;24;76
ACPSEA1;A;partielle;sans;1;3;0;0;0;1;1;99
ACPSEA2;A;partielle;sans;2;16;12;10;17;14;14;86
ACPSEA3;A;partielle;sans;3;6;6;0;9;5;5;95
AT1;A;temoin;temoin;temoin;6;0;1;4;3;3;97
AT2;A;temoin;temoin;temoin;0;0;1;2;1;1;99
AT3;A;temoin;temoin;temoin;2;6;9;9;7;7;93
BCTAEA1;B;totale;avec;1;61;16;1;80;40;41;59
BCTAEA2;B;totale;avec;2;3;21;6;1;8;8;92
BCTAEA3;B;totale;avec;3;31;0;4;70;26;27;73
BCTSEA1;B;totale;sans;1;47;3;20;11;20;21;79
BCTSEA2;B;totale;sans;2;90;10;0;13;28;29;71
BCTSEA3;B;totale;sans;3;93;96;33;26;62;64;36
BCPAEA1;B;partielle;avec;1;0;0;2;0;1;1;99
BCPAEA2;B;partielle;avec;2;0;0;0;0;0;0;100
BCPAEA3;B;partielle;avec;3;1;14;6;2;6;6;94
BCPSEA1;B;partielle;sans;1;2;3;0;1;2;2;98
BCPSEA2;B;partielle;sans;2;0;0;26;0;7;7;93
BCPSEA3;B;partielle;sans;3;6;2;4;3;4;4;96
BT1;B;temoin;temoin;temoin;0;0;0;0;0;0;100
BT2;B;temoin;temoin;temoin;0;0;0;0;0;0;100
BT3;B;temoin;temoin;temoin;0;1;1;0;1;1;99
CCTAEA1;C;totale;avec;1;56;76;77;62;68;70;30
CCTAEA2;C;totale;avec;2;5;35;49;67;39;41;59
CCTAEA3;C;totale;avec;3;35;40;9;30;29;30;70
CCTSEA1;C;totale;sans;1;59;39;12;18;32;33;67
CCTSEA2;C;totale;sans;2;84;56;74;14;57;59;41
CCTSEA3;C;totale;sans;3;65;89;90;67;78;81;19
CCPAEA1;C;partielle;avec;1;3;0;0;1;1;1;99
CCPAEA2;C;partielle;avec;2;26;34;20;24;26;27;73
CCPAEA3;C;partielle;avec;3;7;14;20;7;12;12;88
CCPSEA1;C;partielle;sans;1;1;12;15;4;8;8;92
CCPSEA2;C;partielle;sans;2;0;14;9;1;6;6;94
CCPSEA3;C;partielle;sans;3;18;12;3;19;13;14;86
CT1;C;temoin;temoin;temoin;0;0;0;0;0;0;100
CT2;C;temoin;temoin;temoin;0;0;0;0;0;0;100
CT3;C;temoin;temoin;temoin;7;15;9;7;10;10;90
DCTAEA1;D;totale;avec;1;1;0;0;2;1;1;99
DCTAEA2;D;totale;avec;2;11;17;17;17;16;16;84
DCTAEA3;D;totale;avec;3;3;9;12;3;7;7;93
DCTSEA1;D;totale;sans;1;94;96;85;92;92;95;5
DCTSEA2;D;totale;sans;2;11;15;76;63;41;43;57
DCTSEA3;D;totale;sans;3;72;2;2;27;26;27;73
DCPAEA1;D;partielle;avec;1;26;0;9;10;11;12;88
DCPAEA2;D;partielle;avec;2;0;0;0;0;0;0;100
DCPAEA3;D;partielle;avec;3;0;0;0;0;0;0;100
DCPSEA1;D;partielle;sans;1;0;0;0;0;0;0;100
DCPSEA2;D;partielle;sans;2;3;0;0;0;1;1;99
DCPSEA3;D;partielle;sans;3;0;0;2;0;1;1;99
DT1;D;temoin;temoin;temoin;0;0;1;0;0;0;100
DT2;D;temoin;temoin;temoin;0;0;1;0;0;0;100
DT3;D;temoin;temoin;temoin;0;0;0;0;0;0;100
