ID_site;Mois;bloc;coupe;exclos;analogue;P.cin;Carabes;Collemboles
ACTAEA1;mai;A;totale;avec;1;0;0;1
ACTAEA2;mai;A;totale;avec;2;0;0;0
ACTAEA3;mai;A;totale;avec;3;0;0;1
ACTSEA1;mai;A;totale;sans;1;0;0;4
ACTSEA2;mai;A;totale;sans;2;0;0;0
ACTSEA3;mai;A;totale;sans;3;0;5;0
ACPAEA1;mai;A;partielle;avec;1;0;1;2
ACPAEA2;mai;A;partielle;avec;2;0;0;0
ACPAEA3;mai;A;partielle;avec;3;0;0;2
ACPSEA1;mai;A;partielle;sans;1;0;0;2
ACPSEA2;mai;A;partielle;sans;2;0;0;0
ACPSEA3;mai;A;partielle;sans;3;0;0;1
AT1;mai;A;temoin;temoin;temoin;0;0;4
AT2;mai;A;temoin;temoin;temoin;0;1;7
AT3;mai;A;temoin;temoin;temoin;0;1;0
BCTAEA1;mai;B;totale;avec;1;0;0;1
BCTAEA2;mai;B;totale;avec;2;0;0;2
BCTAEA3;mai;B;totale;avec;3;0;0;0
BCTSEA1;mai;B;totale;sans;1;0;0;0
BCTSEA2;mai;B;totale;sans;2;0;0;1
BCTSEA3;mai;B;totale;sans;3;0;0;1
BCPAEA1;mai;B;partielle;avec;1;0;0;2
BCPAEA2;mai;B;partielle;avec;2;0;0;1
BCPAEA3;mai;B;partielle;avec;3;0;0;0
BCPSEA1;mai;B;partielle;sans;1;0;0;1
BCPSEA2;mai;B;partielle;sans;2;0;0;0
BCPSEA3;mai;B;partielle;sans;3;0;0;0
BT1;mai;B;temoin;temoin;temoin;0;0;1
BT2;mai;B;temoin;temoin;temoin;0;1;0
BT3;mai;B;temoin;temoin;temoin;0;0;0
CCTAEA1;mai;C;totale;avec;1;0;0;3
CCTAEA2;mai;C;totale;avec;2;0;1;2
CCTAEA3;mai;C;totale;avec;3;0;1;1
CCTSEA1;mai;C;totale;sans;1;0;3;2
CCTSEA2;mai;C;totale;sans;2;0;3;0
CCTSEA3;mai;C;totale;sans;3;0;0;0
CCPAEA1;mai;C;partielle;avec;1;0;2;3
CCPAEA2;mai;C;partielle;avec;2;0;4;2
CCPAEA3;mai;C;partielle;avec;3;0;0;0
CCPSEA1;mai;C;partielle;sans;1;0;0;1
CCPSEA2;mai;C;partielle;sans;2;0;1;6
CCPSEA3;mai;C;partielle;sans;3;0;0;0
CT1;mai;C;temoin;temoin;temoin;0;0;1
CT2;mai;C;temoin;temoin;temoin;0;1;6
CT3;mai;C;temoin;temoin;temoin;0;1;3
DCTAEA1;mai;D;totale;avec;1;0;2;0
DCTAEA2;mai;D;totale;avec;2;0;0;1
DCTAEA3;mai;D;totale;avec;3;0;0;1
DCTSEA1;mai;D;totale;sans;1;0;0;6
DCTSEA2;mai;D;totale;sans;2;0;0;0
DCTSEA3;mai;D;totale;sans;3;0;0;1
DCPAEA1;mai;D;partielle;avec;1;0;0;0
DCPAEA2;mai;D;partielle;avec;2;0;1;1
DCPAEA3;mai;D;partielle;avec;3;0;0;0
DCPSEA1;mai;D;partielle;sans;1;0;0;0
DCPSEA2;mai;D;partielle;sans;2;0;1;5
DCPSEA3;mai;D;partielle;sans;3;0;0;6
DT1;mai;D;temoin;temoin;temoin;0;1;4
DT2;mai;D;temoin;temoin;temoin;0;0;0
DT3;mai;D;temoin;temoin;temoin;0;0;1
ACTAEA1;juin;A;totale;avec;1;0;0;0
ACTAEA2;juin;A;totale;avec;2;0;0;0
