ID;date;month;site;bloc;coupe;exclos;analogue;trap;genus;species
car001;23-mai;mai;ACTSEA3;A;totale;sans;3;fosse;pterostichus;mutus
car002;23-mai;mai;ACTSEA3;A;totale;sans;3;fosse;pterostichus;mutus
car003;23-mai;mai;CCPAEA2;C;partielle;avec;2;fosse;sphaeroderus;canadensis
car004;23-mai;mai;CCPAEA2;C;partielle;avec;2;fosse;sphaeroderus;canadensis
car005;23-mai;mai;CCTAEA3;C;totale;avec;3;fosse;pterostichus;adstrictus
car006;23-mai;mai;CCTSEA1;C;totale;sans;1;fosse;agonum;affine
car007;23-mai;mai;CCTSEA2;C;totale;sans;2;fosse;pterostichus;coracinus
car008;24-mai;mai;ACPAEA1;A;partielle;avec;1;planche;platynus;decentis
car009;24-mai;mai;ACTSEA3;A;totale;sans;3;planche;pterostichus;mutus
car010;24-mai;mai;AT2;A;temoin;sans;2;fosse;pterostichus;adstrictus
car011;24-mai;mai;AT3;A;temoin;sans;3;planche;pterostichus;coracinus
car012;24-mai;mai;BT2;B;temoin;sans;2;fosse;pterostichus;tristis
car013;24-mai;mai;CCPAEA1;C;partielle;avec;1;planche;pterostichus;pensylvanicus
car014;24-mai;mai;CCPAEA1;C;partielle;avec;1;planche;pterostichus;adstrictus
car015;24-mai;mai;CCPSEA2;C;partielle;sans;2;planche;agonum;affine
car016;24-mai;mai;CCTAEA2;C;totale;avec;2;planche;pterostichus;adstrictus
car017;24-mai;mai;CCTSEA1;C;totale;sans;1;planche;agonum;punctiforme
car018;24-mai;mai;CCTSEA1;C;totale;sans;1;planche;agonum;punctiforme
car019;24-mai;mai;CCTSEA2;C;totale;sans;2;fosse;pterostichus;coracinus
car020;24-mai;mai;CT2;C;temoin;sans;2;fosse;pterostichus;diligendus
car021;24-mai;mai;CT3;C;temoin;sans;3;fosse;platynus;decentis
car022;24-mai;mai;DCPAEA2;D;partielle;avec;2;fosse;pterostichus;adstrictus
car023;24-mai;mai;DCPSEA2;D;partielle;sans;2;fosse;pterostichus;pensylvanicus
car024;24-mai;mai;DCTAEA1;D;totale;avec;1;planche;pterostichus;adstrictus
car025;24-mai;mai;DCTAEA1;D;totale;avec;1;planche;pterostichus;adstrictus
car026;24-mai;mai;DT1;D;temoin;sans;1;planche;pterostichus;pensylvanicus
car027;17-juin;juin;ACTSEA2;A;totale;sans;2;planche;synuchus;impunctatus
car028;17-juin;juin;ACTSEA2;A;totale;sans;2;planche;agonum;retractum
car029;17-juin;juin;ACTSEA2;A;totale;sans;2;planche;pterostichus;mutus
