"site","ID","day","month","ext","order","family","Bloc","Coupe","Exclos","Analogue","ord.fam"
"ACPAEA1","col013",20,"mai",3,"Poduromorpha","Hypogastruridae","A","partielle","avec","1","Poduromorpha Hypogastruridae"
"ACPAEA1","col014",20,"mai",3,"Entomobryomorpha","Isotomidae","A","partielle","avec","1","Entomobryomorpha Isotomidae"
"ACPAEA1","col214",16,"juin",6,"Poduromorpha","Onychiuridae","A","partielle","avec","1","Poduromorpha Onychiuridae"
"ACPAEA1","col210",16,"juin",6,"Poduromorpha","Tullbergidae","A","partielle","avec","1","Poduromorpha Tullbergidae"
"ACPAEA1","col212",16,"juin",6,"Poduromorpha","Hypogastruridae","A","partielle","avec","1","Poduromorpha Hypogastruridae"
"ACPAEA1","col213",16,"juin",6,"Poduromorpha","Onychiuridae","A","partielle","avec","1","Poduromorpha Onychiuridae"
"ACPAEA1","col211",16,"juin",6,"Poduromorpha","Hypogastruridae","A","partielle","avec","1","Poduromorpha Hypogastruridae"
"ACPAEA1","col217",16,"juin",6,"Poduromorpha","Hypogastruridae","A","partielle","avec","1","Poduromorpha Hypogastruridae"
"ACPAEA1","col215",16,"juin",6,"Poduromorpha","Onychiuridae","A","partielle","avec","1","Poduromorpha Onychiuridae"
"ACPAEA1","col216",16,"juin",6,"Symphypleona","Dicyrtomidae","A","partielle","avec","1","Symphypleona Dicyrtomidae"
"ACPAEA2","col187",16,"juin",6,"Entomobryomorpha","Entomobryidae","A","partielle","avec","2","Entomobryomorpha Entomobryidae"
"ACPAEA2","col379",11,"juillet",3,"Entomobryomorpha","Isotomidae","A","partielle","avec","2","Entomobryomorpha Isotomidae"
"ACPAEA2","col184",16,"juin",6,"Entomobryomorpha","Entomobryidae","A","partielle","avec","2","Entomobryomorpha Entomobryidae"
"ACPAEA2","col185",16,"juin",6,"Symphypleona","Katiannidae","A","partielle","avec","2","Symphypleona Katiannidae"
"ACPAEA2","col380",11,"juillet",3,"Entomobryomorpha","Isotomidae","A","partielle","avec","2","Entomobryomorpha Isotomidae"
"ACPAEA2","col183",16,"juin",6,"Entomobryomorpha","Entomobryidae","A","partielle","avec","2","Entomobryomorpha Entomobryidae"
"ACPAEA2","col178",16,"juin",6,"Entomobryomorpha","Entomobryidae","A","partielle","avec","2","Entomobryomorpha Entomobryidae"
"ACPAEA2","col188",16,"juin",6,"Entomobryomorpha","Entomobryidae","A","partielle","avec","2","Entomobryomorpha Entomobryidae"
"ACPAEA2","col186",16,"juin",6,"Entomobryomorpha","Entomobryidae","A","partielle","avec","2","Entomobryomorpha Entomobryidae"
"ACPAEA2","col172",16,"juin",6,"Entomobryomorpha","Entomobryidae","A","partielle","avec","2","Entomobryomorpha Entomobryidae"
"ACPAEA2","col192",16,"juin",6,"Entomobryomorpha","Entomobryidae","A","partielle","avec","2","Entomobryomorpha Entomobryidae"
"ACPAEA2","col179",16,"juin",6,"Entomobryomorpha","Entomobryidae","A","partielle","avec","2","Entomobryomorpha Entomobryidae"
"ACPAEA2","col190",16,"juin",6,"Poduromorpha","Hypogastruridae","A","partielle","avec","2","Poduromorpha Hypogastruridae"
