"sites","Bloc","Coupe","Exclos","Analogue","CWD","litter","canopy","CWD_STD","litter_STD","canopy_STD"
"ACPAEA1","A","partielle","avec","1",16.0640684859158,2.2,23,1.26949319389955,-0.446040350603748,-0.228156342581139
"ACPAEA2","A","partielle","avec","2",15.1050155637614,2.2,27,1.12350727779934,-0.446040350603748,-0.116633894068974
"ACPAEA3","A","partielle","avec","3",10.8720585387295,3.2,26,0.479171501496237,0.0957090630850147,-0.144514506197015
"ACPSEA1","A","partielle","sans","1",11.3604961888916,4.5,2,0.553520910344895,0.799983300880406,-0.813649197270011
"ACPSEA2","A","partielle","sans","2",6.38168605900588,3.2,17,-0.204347754783241,0.0957090630850147,-0.395440015349388
"ACPSEA3","A","partielle","sans","3",8.34096275561525,3.8,5,0.0938910564867274,0.420758711298272,-0.730007360885886
"ACTAEA1","A","totale","avec","1",5.97476268108272,1.1,88,-0.266289156280939,-1.04196470566139,1.58408344574156
"ACTAEA2","A","totale","avec","2",5.52537018156937,0.7,92,-0.334695157883695,-1.25866447113689,1.69560589425372
"ACTAEA3","A","totale","avec","3",2.22891756563287,0.6,89,-0.836477326418663,-1.31283941250577,1.6119640578696
"ACTSEA1","A","totale","sans","1",8.28550740893108,0.6,100,0.0854497083594956,-1.31283941250577,1.91865079127805
"ACTSEA2","A","totale","sans","2",1.63724488642809,0.7,92,-0.926541050859588,-1.25866447113689,1.69560589425372
"ACTSEA3","A","totale","sans","3",3.37174829822389,0.5,67,-0.662516966577418,-1.36701435387464,0.998590591052686
"AT1","A","temoin","sans","temoin",14.271303012189,2.3,8,0.996600526572165,-0.391865409234872,-0.646365524501762
"AT2","A","temoin","sans","temoin",5.17035964747665,5.7,1,-0.388734446902625,1.45008259730692,-0.841529809398052
"AT3","A","temoin","sans","temoin",9.75320195128321,5.2,11,0.308860458038714,1.17920789046254,-0.562723688117637
"BCPAEA1","B","partielle","avec","1",5.41092149998558,4.6,1,-0.352116402573652,0.854158242249282,-0.841529809398052
"BCPAEA2","B","partielle","avec","2",18.2339515501942,6,0,1.59979026056968,1.61260742141355,-0.869410421526094
"BCPAEA3","B","partielle","avec","3",16.1814167741584,5.3,5,1.28735581332979,1.23338283183142,-0.730007360885886
"BCPSEA1","B","partielle","sans","1",3.8461976898357,3.4,4,-0.59029683411377,0.204058945822767,-0.757887973013928
"BCPSEA2","B","partielle","sans","2",8.2855207975066,7.5,7,0.08545174635283,2.42523154194669,-0.674246136629803
"BCPSEA3","B","partielle","sans","3",3.74745590661137,4.5,5,-0.605327193073515,0.799983300880406,-0.730007360885886
"BCTAEA1","B","totale","avec","1",4.34858857009812,1.3,48,-0.513823480869877,-0.933614822923634,0.468858960619898
"BCTAEA2","B","totale","avec","2",2.97056626281895,0.9,8,-0.723584427620104,-1.15031458839914,-0.646365524501762
"BCTAEA3","B","totale","avec","3",1.60613329003711,1.4,27,-0.931276821738921,-0.879439881554757,-0.116633894068974
"BCTSEA1","B","totale","sans","1",2.22489131541082,2.3,83,-0.83709019752675,-0.391865409234872,1.44468038510135
"BCTSEA2","B","totale","sans","2",1.93366251159727,1.5,29,-0.881420706028809,-0.825264940185881,-0.0608726698128906
"BCTSEA3","B","totale","sans","3",3.46031038349592,3.2,64,-0.649036149355008,0.0957090630850147,0.914948754668561
"BT1","B","temoin","sans","temoin",1.46489351107028,4.3,0,-0.952776175993476,0.691633418142653,-0.869410421526094
"BT2","B","temoin","sans","temoin",2.82172785239114,6.4,0,-0.746240436684123,1.82930718688905,-0.869410421526094
"BT3","B","temoin","sans","temoin",9.90065515526411,5.7,2,0.331305612594634,1.45008259730692,-0.813649197270011
"CCPAEA1","C","partielle","avec","1",6.65823213627477,3.1,1,-0.162252233773484,0.0415341217161384,-0.841529809398052
"CCPAEA2","C","partielle","avec","2",5.71746373078082,2.6,30,-0.30545490209512,-0.229340585128243,-0.0329920576848491
"CCPAEA3","C","partielle","avec","3",5.23021225105972,1.9,21,-0.379623753464114,-0.608565174710376,-0.283917566837222
"CCPSEA1","C","partielle","sans","1",6.27810692628209,1.9,14,-0.220114449436109,-0.608565174710376,-0.479081851733513
"CCPSEA2","C","partielle","sans","2",6.24489133391863,2.8,4,-0.225170488125921,-0.12099070239049,-0.757887973013928
"CCPSEA3","C","partielle","sans","3",8.39561085431371,2.4,13,0.102209526268049,-0.337690467865995,-0.506962463861554
"CCTAEA1","C","totale","avec","1",1.61136997020333,2.2,98,-0.930479700397929,-0.446040350603748,1.86288956702197
"CCTAEA2","C","totale","avec","2",0.651723451715874,1.1,70,-1.07655597303893,-1.04196470566139,1.08223242743681
"CCTAEA3","C","totale","avec","3",1.47697096408748,1.1,64,-0.950937760195824,-1.04196470566139,0.914948754668561
"CCTSEA1","C","totale","sans","1",1.37093210591783,3.3,76,-0.967078871384289,0.149884004453891,1.24951610020506
"CCTSEA2","C","totale","sans","2",3.01957353571386,0.7,72,-0.716124597756842,-1.25866447113689,1.13799365169289
"CCTSEA3","C","totale","sans","3",1.37428009434771,1,86,-0.966569244494326,-1.09613964703026,1.52832222148547
"CT1","C","temoin","sans","temoin",5.18730300038393,3,0,-0.386155349504723,-0.0126408196527378,-0.869410421526094
