"site","weight"
"ACPAEA1",28
"ACPAEA2",131
"ACPAEA3",29
"ACPSEA1",6
"ACPSEA2",314
"ACPSEA3",169
"ACTAEA1",3
"ACTAEA2",1
"ACTAEA3",21
"ACTSEA1",196
"ACTSEA2",3
"ACTSEA3",11
"AT1",24
"AT2",41
"AT3",9
"BCPAEA1",56
"BCPAEA2",156
"BCPAEA3",9
"BCPSEA1",43
"BCPSEA2",0
"BCPSEA3",0
"BCTAEA1",4
"BCTAEA2",16
"BCTAEA3",13
"BCTSEA1",13
"BCTSEA2",21
"BCTSEA3",0
"BT1",4
"BT2",6
"BT3",26
"CCPAEA1",10
"CCPAEA2",13
"CCPAEA3",3
"CCPSEA1",15
"CCPSEA2",19
"CCPSEA3",1
"CCTAEA1",26
"CCTAEA2",18
"CCTAEA3",8
"CCTSEA1",11
"CCTSEA2",0
"CCTSEA3",6
"CT1",8
"CT2",22
"CT3",69
"DCPAEA1",13
"DCPAEA2",25
"DCPAEA3",137
"DCPSEA1",143
"DCPSEA2",12
"DCPSEA3",32
"DCTAEA1",8
"DCTAEA2",13
"DCTAEA3",149
"DCTSEA1",42
"DCTSEA2",17
"DCTSEA3",147
"DT1",33
"DT2",22
"DT3",28
