"ID","mai","juin","juillet","aout"
"ACPAEA1",1,1,0,0
"ACPAEA2",0,1,1,0
"ACPAEA3",1,1,1,0
"ACPSEA1",1,1,0,0
"ACPSEA2",0,1,0,0
"ACPSEA3",1,1,1,1
"ACTAEA1",1,0,0,0
"ACTAEA2",0,0,0,1
"ACTAEA3",1,0,1,0
"ACTSEA1",1,0,1,1
"ACTSEA2",0,0,0,1
"ACTSEA3",0,0,1,0
"AT1",1,1,0,0
"AT2",1,0,0,1
"AT3",0,0,1,0
"BCPAEA1",1,0,1,1
"BCPAEA2",1,1,1,0
"BCPAEA3",0,1,0,1
"BCPSEA1",1,1,1,0
"BCPSEA2",0,0,0,0
"BCPSEA3",0,0,0,0
"BCTAEA1",0,0,1,1
"BCTAEA2",1,0,0,0
"BCTAEA3",0,1,1,1
"BCTSEA1",0,0,1,0
"BCTSEA2",1,1,0,1
"BCTSEA3",0,0,0,0
"BT1",1,1,0,0
"BT2",0,1,1,0
"BT3",0,0,1,1
"CCPAEA1",1,0,0,0
"CCPAEA2",1,0,0,0
"CCPAEA3",0,1,0,0
"CCPSEA1",1,0,1,0
"CCPSEA2",1,0,1,1
"CCPSEA3",0,0,1,0
"CCTAEA1",0,0,1,1
"CCTAEA2",1,0,1,0
"CCTAEA3",1,0,0,1
"CCTSEA1",1,0,0,1
"CCTSEA2",0,0,0,0
"CCTSEA3",0,1,1,0
"CT1",1,0,0,1
"CT2",1,1,0,1
"CT3",1,1,0,0
"DCPAEA1",0,1,0,0
"DCPAEA2",0,1,1,0
"DCPAEA3",0,1,1,0
"DCPSEA1",0,1,0,1
"DCPSEA2",1,1,0,0
"DCPSEA3",1,0,1,0
"DCTAEA1",0,0,0,1
"DCTAEA2",1,0,1,0
"DCTAEA3",1,0,1,1
"DCTSEA1",1,0,1,1
"DCTSEA2",0,0,0,1
"DCTSEA3",0,0,1,1
"DT1",1,1,1,1
"DT2",0,1,1,1
"DT3",1,1,0,1
