"ID_site","Bloc","Coupe","Exclos","Analogue","Nord","Est","Sud","Ouest","Moyenne","Ouverture","Fermeture"
"ACPAEA1","A","partielle","avec","1",7,41,21,19,22,23,77
"ACPAEA2","A","partielle","avec","2",30,32,21,20,26,27,73
"ACPAEA3","A","partielle","avec","3",33,15,33,20,25,26,74
"ACPSEA1","A","partielle","sans","1",4,1,0,3,2,2,98
"ACPSEA2","A","partielle","sans","2",16,12,19,19,17,17,83
"ACPSEA3","A","partielle","sans","3",10,2,0,6,5,5,95
"ACTAEA1","A","totale","avec","1",96,85,84,74,85,88,12
"ACTAEA2","A","totale","avec","2",96,66,96,96,89,92,8
"ACTAEA3","A","totale","avec","3",76,76,94,96,86,89,11
"ACTSEA1","A","totale","sans","1",96,96,96,96,96,100,0
"ACTSEA2","A","totale","sans","2",74,94,96,90,89,92,8
"ACTSEA3","A","totale","sans","3",95,58,58,45,64,67,33
"AT1","A","temoin","temoin","temoin",9,12,4,6,8,8,92
"AT2","A","temoin","temoin","temoin",1,0,0,2,1,1,99
"AT3","A","temoin","temoin","temoin",2,6,19,17,11,11,89
"BCPAEA1","B","partielle","avec","1",1,0,2,0,1,1,99
"BCPAEA2","B","partielle","avec","2",0,0,0,0,0,0,100
"BCPAEA3","B","partielle","avec","3",0,15,1,2,5,5,95
"BCPSEA1","B","partielle","sans","1",0,6,6,3,4,4,96
"BCPSEA2","B","partielle","sans","2",0,0,26,0,7,7,93
"BCPSEA3","B","partielle","sans","3",1,4,10,3,5,5,95
"BCTAEA1","B","totale","avec","1",63,29,0,94,47,48,52
"BCTAEA2","B","totale","avec","2",15,5,11,1,8,8,92
"BCTAEA3","B","totale","avec","3",44,0,2,57,26,27,73
"BCTSEA1","B","totale","sans","1",96,58,96,71,80,83,17
"BCTSEA2","B","totale","sans","2",90,10,0,13,28,29,71
"BCTSEA3","B","totale","sans","3",93,96,33,26,62,64,36
"BT1","B","temoin","temoin","temoin",0,0,0,0,0,0,100
"BT2","B","temoin","temoin","temoin",0,0,0,0,0,0,100
"BT3","B","temoin","temoin","temoin",1,2,2,1,2,2,98
"CCPAEA1","C","partielle","avec","1",4,0,0,0,1,1,99
"CCPAEA2","C","partielle","avec","2",24,35,22,33,29,30,70
"CCPAEA3","C","partielle","avec","3",6,13,42,21,21,21,79
"CCPSEA1","C","partielle","sans","1",23,10,1,18,13,14,86
"CCPSEA2","C","partielle","sans","2",3,5,5,3,4,4,96
"CCPSEA3","C","partielle","sans","3",23,13,0,13,12,13,87
"CCTAEA1","C","totale","avec","1",96,91,93,96,94,98,2
"CCTAEA2","C","totale","avec","2",19,96,73,83,68,70,30
"CCTAEA3","C","totale","avec","3",82,62,39,62,61,64,36
"CCTSEA1","C","totale","sans","1",89,96,22,86,73,76,24
"CCTSEA2","C","totale","sans","2",90,84,88,15,69,72,28
"CCTSEA3","C","totale","sans","3",84,96,96,53,82,86,14
"CT1","C","temoin","temoin","temoin",0,0,0,0,0,0,100
"CT2","C","temoin","temoin","temoin",0,0,0,0,0,0,100
"CT3","C","temoin","temoin","temoin",7,12,9,9,9,10,90
"DCPAEA1","D","partielle","avec","1",42,3,5,10,15,16,84
"DCPAEA2","D","partielle","avec","2",2,1,0,0,1,1,99
"DCPAEA3","D","partielle","avec","3",0,0,0,0,0,0,100
"DCPSEA1","D","partielle","sans","1",0,0,0,0,0,0,100
"DCPSEA2","D","partielle","sans","2",5,3,0,0,2,2,98
"DCPSEA3","D","partielle","sans","3",0,0,3,3,2,2,98
"DCTAEA1","D","totale","avec","1",12,5,3,8,7,7,93
"DCTAEA2","D","totale","avec","2",66,22,25,14,32,33,67
"DCTAEA3","D","totale","avec","3",17,29,33,5,21,22,78
"DCTSEA1","D","totale","sans","1",93,96,96,89,94,97,3
"DCTSEA2","D","totale","sans","2",96,94,93,96,95,99,1
"DCTSEA3","D","totale","sans","3",96,94,96,96,96,99,1
"DT1","D","temoin","temoin","temoin",1,1,4,0,2,2,98
"DT2","D","temoin","temoin","temoin",0,0,1,3,1,1,99
"DT3","D","temoin","temoin","temoin",0,0,0,0,0,0,100
