"","V1","V2","V3","V4","V5"
"1","ACTAEA1",160640.684859158,160640.684859158,160640.684859158,160640.684859158
"2","ACTAEA2",151050.155637614,151050.155637614,151050.155637614,151050.155637614
"3","ACTAEA3",108720.585387295,108720.585387295,108720.585387295,108720.585387295
"4","ACTSEA1",113604.961888916,113604.961888916,113604.961888916,113604.961888916
"5","ACTSEA2",63816.8605900588,63816.8605900588,63816.8605900588,63816.8605900588
"6","ACTSEA3",83409.6275561525,83409.6275561525,83409.6275561525,83409.6275561525
"7","ACPAEA1",59747.6268108272,59747.6268108272,59747.6268108272,59747.6268108272
"8","ACPAEA2",55253.7018156937,55253.7018156937,55253.7018156937,55253.7018156937
"9","ACPAEA3",22289.1756563287,22289.1756563287,22289.1756563287,22289.1756563287
"10","ACPSEA1",82855.0740893108,82855.0740893108,82855.0740893108,82855.0740893108
"11","ACPSEA2",16372.4488642809,16372.4488642809,16372.4488642809,16372.4488642809
"12","ACPSEA3",33717.4829822389,33717.4829822389,33717.4829822389,33717.4829822389
"13","AT1",142713.03012189,142713.03012189,142713.03012189,142713.03012189
"14","AT2",51703.5964747665,51703.5964747665,51703.5964747665,51703.5964747665
"15","AT3",97532.0195128322,97532.0195128322,97532.0195128322,97532.0195128322
"16","BCTAEA1",54109.2149998558,54109.2149998558,54109.2149998558,54109.2149998558
"17","BCTAEA2",182339.515501942,182339.515501942,182339.515501942,182339.515501942
"18","BCTAEA3",161814.167741584,161814.167741584,161814.167741584,161814.167741584
"19","BCTSEA1",38461.976898357,38461.976898357,38461.976898357,38461.976898357
"20","BCTSEA2",82855.207975066,82855.207975066,82855.207975066,82855.207975066
"21","BCTSEA3",37474.5590661137,37474.5590661137,37474.5590661137,37474.5590661137
"22","BCPAEA1",43485.8857009812,43485.8857009812,43485.8857009812,43485.8857009812
"23","BCPAEA2",29705.6626281895,29705.6626281895,29705.6626281895,29705.6626281895
"24","BCPAEA3",16061.332900371,16061.332900371,16061.332900371,16061.332900371
"25","BCPSEA1",22248.9131541082,22248.9131541082,22248.9131541082,22248.9131541082
"26","BCPSEA2",19336.6251159727,19336.6251159727,19336.6251159727,19336.6251159727
"27","BCPSEA3",34603.1038349592,34603.1038349592,34603.1038349592,34603.1038349592
"28","BT1",14648.9351107028,14648.9351107028,14648.9351107028,14648.9351107028
"29","BT2",28217.2785239114,28217.2785239114,28217.2785239114,28217.2785239114
"30","BT3",99006.5515526411,99006.5515526411,99006.5515526411,99006.5515526411
"31","CCTAEA1",66582.3213627477,66582.3213627477,66582.3213627477,66582.3213627477
"32","CCTAEA2",57174.6373078082,57174.6373078082,57174.6373078082,57174.6373078082
"33","CCTAEA3",52302.1225105972,52302.1225105972,52302.1225105972,52302.1225105972
"34","CCTSEA1",62781.0692628209,62781.0692628209,62781.0692628209,62781.0692628209
"35","CCTSEA2",62448.9133391863,62448.9133391863,62448.9133391863,62448.9133391863
"36","CCTSEA3",83956.1085431371,83956.1085431371,83956.1085431371,83956.1085431371
"37","CCPAEA1",16113.6997020333,16113.6997020333,16113.6997020333,16113.6997020333
"38","CCPAEA2",6517.23451715874,6517.23451715874,6517.23451715874,6517.23451715874
"39","CCPAEA3",14769.7096408748,14769.7096408748,14769.7096408748,14769.7096408748
"40","CCPSEA1",13709.3210591783,13709.3210591783,13709.3210591783,13709.3210591783
"41","CCPSEA2",30195.7353571386,30195.7353571386,30195.7353571386,30195.7353571386
"42","CCPSEA3",13742.8009434771,13742.8009434771,13742.8009434771,13742.8009434771
"43","CT1",51873.0300038394,51873.0300038394,51873.0300038394,51873.0300038394
"44","CT2",35288.1881236428,35288.1881236428,35288.1881236428,35288.1881236428
"45","CT3",117694.61073534,117694.61073534,117694.61073534,117694.61073534
"46","DCTAEA1",128847.869394828,128847.869394828,128847.869394828,128847.869394828
"47","DCTAEA2",226461.221771413,226461.221771413,226461.221771413,226461.221771413
"48","DCTAEA3",71371.158364979,71371.158364979,71371.158364979,71371.158364979
"49","DCTSEA1",150914.271596221,150914.271596221,150914.271596221,150914.271596221
"50","DCTSEA2",143414.641602146,143414.641602146,143414.641602146,143414.641602146
"51","DCTSEA3",106167.161410772,106167.161410772,106167.161410772,106167.161410772
"52","DCPAEA1",185683.269736544,185683.269736544,185683.269736544,185683.269736544
"53","DCPAEA2",69903.2057751632,69903.2057751632,69903.2057751632,69903.2057751632
"54","DCPAEA3",181942.245335712,181942.245335712,181942.245335712,181942.245335712
"55","DCPSEA1",45449.9206601768,45449.9206601768,45449.9206601768,45449.9206601768
"56","DCPSEA2",66840.1103918857,66840.1103918857,66840.1103918857,66840.1103918857
"57","DCPSEA3",42476.3669060028,42476.3669060028,42476.3669060028,42476.3669060028
"58","DT1",19658.3498722407,19658.3498722407,19658.3498722407,19658.3498722407
"59","DT2",370897.92154065,370897.92154065,370897.92154065,370897.92154065
"60","DT3",31514.6958411076,31514.6958411076,31514.6958411076,31514.6958411076
