"sites","Bloc","Coupe","Exclos","Analogue","Diam_bas","Diam_api","Longueur","Classe"
"ACTAEA2","A","totale","avec",2,"12,6","12,1","195",1
"ACTAEA2","A","totale","avec",2,"10,6","10,1","105",2
"ACTAEA2","A","totale","avec",2,"10,5","9,9","100",3
"ACTAEA2","A","totale","avec",2,"25","3,9","348",3
"ACTAEA2","A","totale","avec",2,"15,5","13,6","160",3
"ACTAEA2","A","totale","avec",2,"26,9","2,6","520",3
"ACTAEA2","A","totale","avec",2,"12,6","8","684",2
"ACTAEA2","A","totale","avec",2,"9,7","7,5","128",2
"ACTAEA2","A","totale","avec",2,"11,5","7,8","545",2
"ACTAEA2","A","totale","avec",2,"12,6","5,4","510",2
"ACTAEA2","A","totale","avec",2,"12,5","8,8","480",2
"ACTAEA2","A","totale","avec",2,"11,8","10,3","142",2
"ACTAEA2","A","totale","avec",2,"11,2","10,3","195",2
"ACTAEA2","A","totale","avec",2,"10,2","9,7","102",2
"ACTAEA2","A","totale","avec",2,"9,7","9","156",2
"ACTAEA2","A","totale","avec",2,"14,7","11,5","310",3
"ACTAEA2","A","totale","avec",2,"10","9,7","225",2
"ACTAEA2","A","totale","avec",2,"11,1","10,6","105",2
"ACTAEA3","A","totale","avec",3,"13,3","9,9","154",2
"ACTAEA3","A","totale","avec",3,"10,2","9,6","100",2
"ACTAEA3","A","totale","avec",3,"10,2","8,5","420",3
"ACTAEA3","A","totale","avec",3,"13,8","14,9","500",2
"ACTAEA3","A","totale","avec",3,"10","9,6","104",3
"ACTAEA3","A","totale","avec",3,"9,5","9,1","135",3
"ACTAEA3","A","totale","avec",3,"9,6","7,4","447",3
"ACTAEA3","A","totale","avec",3,"16","7","207",3
"ACTAEA1","A","totale","avec",1,"12,1","7,1","687",2
"ACTAEA1","A","totale","avec",1,"12,2","6","860",2
"ACTAEA1","A","totale","avec",1,"11,7","1,8","732",2
"ACTAEA1","A","totale","avec",1,"13","4,4","645",3
"ACTAEA1","A","totale","avec",1,"11,2","6,9","581",3
"ACTAEA1","A","totale","avec",1,"11,5","2,5","1070",2
"ACTAEA1","A","totale","avec",1,"9,7","9,7","102",3
"ACTAEA1","A","totale","avec",1,"9,6","7,2","490",2
"ACTAEA1","A","totale","avec",1,"20,7","12,3","365",3
"ACTAEA1","A","totale","avec",1,"18,2","11,4","485",3
"ACTAEA1","A","totale","avec",1,"11","7,5","500",2
"ACTSEA2","A","totale","sans",2,"12,6","4,5","390",2
"ACTSEA2","A","totale","sans",2,"10,7","7,8","162",2
"ACTSEA2","A","totale","sans",2,"35,1","34,7","132",3
"ACTSEA2","A","totale","sans",2,"14","13,3","197",4
"ACTSEA2","A","totale","sans",2,"11,8","6,7","122",3
"ACTSEA2","A","totale","sans",2,"17,9","17,8","122",3
"ACTSEA2","A","totale","sans",2,"10,4","8,4","108",3
"ACTSEA3","A","totale","sans",3,"30,3","25","172",3
"ACTSEA3","A","totale","sans",3,"14,2","10","270",3
"ACTSEA3","A","totale","sans",3,"36,8","25,2","245",2
"ACTSEA3","A","totale","sans",3,"10,7","6,3","352",2
"ACTSEA3","A","totale","sans",3,"19,1","10,7","140",4
"ACTSEA3","A","totale","sans",3,"26,5","20,9","230",3
"ACTSEA3","A","totale","sans",3,"12,5","11,8","109",3
"ACTSEA3","A","totale","sans",3,"23","20,4","165",4
"ACTSEA3","A","totale","sans",3,"21,5","18,5","137",4
"ACTSEA1","A","totale","sans",1,"18,8","16,4","162",4
"ACTSEA1","A","totale","sans",1,"12,3","8,2","295",4
"ACTSEA1","A","totale","sans",1,"24,9","24,4","365",4
"ACTSEA1","A","totale","sans",1,"9,1","8,1","225",3
"ACTSEA1","A","totale","sans",1,"18,7","18,6","127",4
"ACTSEA1","A","totale","sans",1,"17,3","10,9","221",4
"ACTSEA1","A","totale","sans",1,"23,1","16,3","206",4
"ACTSEA1","A","totale","sans",1,"14,4","11,7","180",3
"ACTSEA1","A","totale","sans",1,"20,3","19,1","125",4
"ACTSEA1","A","totale","sans",1,"21,2","20,1","134",4
"ACTSEA1","A","totale","sans",1,"11,6","11,1","260",3
"ACTSEA1","A","totale","sans",1,"15","11,7","200",2
"ACTSEA1","A","totale","sans",1,"12,4","8,1","395",3
"ACTSEA1","A","totale","sans",1,"38,2","33,4","300",4
"ACTSEA1","A","totale","sans",1,"14,5","8,7","129",3
"ACTSEA1","A","totale","sans",1,"14,1","3,7","995",2
"ACTSEA1","A","totale","sans",1,"10,1","6,9","155",2
"ACTSEA1","A","totale","sans",1,"24,1","22","350",4
"ACTSEA1","A","totale","sans",1,"14,5","12,1","255",2
"ACTSEA1","A","totale","sans",1,"25,2","21,7","245",2
"BCTAEA3","B","totale","avec",3,"11,1","9,4","192",3
"BCTAEA3","B","totale","avec",3,"10,4","9","208",3
"BCTAEA3","B","totale","avec",3,"14,6","5,6","272",3
"BCTAEA3","B","totale","avec",3,"24,8","21","335",4
"BCTAEA3","B","totale","avec",3,"22,4","10","107",3
"BCTAEA1","B","totale","avec",1,"19,1","16,9","102",3
"BCTAEA1","B","totale","avec",1,"34,5","33,6","357",4
"BCTAEA1","B","totale","avec",1,"27,5","25,4","264",4
"BCTAEA1","B","totale","avec",1,"27,4","28,6","116",4
"BCTAEA1","B","totale","avec",1,"16","15,2","146",3
"BCTAEA1","B","totale","avec",1,"19,1","17,3","412",2
