ID_site;Bloc;Coupe;Exclos;Analogue;Diam_bas;Diam_api;Longueur ;Classe;Diam_bas_m;Diam_api_m
ACTAEA2;A;totale;avec;2;12,6;12,1;195;1;0,126;0,121
ACTAEA2;A;totale;avec;2;10,6;10,1;105;2;0,106;0,101
ACTAEA2;A;totale;avec;2;10,5;9,9;100;3;0,105;0,099
ACTAEA2;A;totale;avec;2;25;3,9;348;3;0,25;0,039
ACTAEA2;A;totale;avec;2;15,5;13,6;160;3;0,155;0,136
ACTAEA2;A;totale;avec;2;26,9;2,6;520;3;0,269;0,026
ACTAEA2;A;totale;avec;2;12,6;8;684;2;0,126;0,08
ACTAEA2;A;totale;avec;2;9,7;7,5;128;2;0,097;0,075
ACTAEA2;A;totale;avec;2;11,5;7,8;545;2;0,115;0,078
ACTAEA2;A;totale;avec;2;12,6;5,4;510;2;0,126;0,054
ACTAEA2;A;totale;avec;2;12,5;8,8;480;2;0,125;0,088
ACTAEA2;A;totale;avec;2;11,8;10,3;142;2;0,118;0,103
ACTAEA2;A;totale;avec;2;11,2;10,3;195;2;0,112;0,103
ACTAEA2;A;totale;avec;2;10,2;9,7;102;2;0,102;0,097
ACTAEA2;A;totale;avec;2;9,7;9;156;2;0,097;0,09
ACTAEA2;A;totale;avec;2;14,7;11,5;310;3;0,147;0,115
ACTAEA2;A;totale;avec;2;10;9,7;225;2;0,1;0,097
ACTAEA2;A;totale;avec;2;11,1;10,6;105;2;0,111;0,106
ACTAEA3;A;totale;avec;3;13,3;9,9;154;2;0,133;0,099
ACTAEA3;A;totale;avec;3;10,2;9,6;100;2;0,102;0,096
ACTAEA3;A;totale;avec;3;10,2;8,5;420;3;0,102;0,085
ACTAEA3;A;totale;avec;3;13,8;14,9;500;2;0,138;0,149
ACTAEA3;A;totale;avec;3;10;9,6;104;3;0,1;0,096
ACTAEA3;A;totale;avec;3;9,5;9,1;135;3;0,095;0,091
ACTAEA3;A;totale;avec;3;9,6;7,4;447;3;0,096;0,074
ACTAEA3;A;totale;avec;3;16;7;207;3;0,16;0,07
ACTAEA1;A;totale;avec;1;12,1;7,1;687;2;0,121;0,071
ACTAEA1;A;totale;avec;1;12,2;6;860;2;0,122;0,06
ACTAEA1;A;totale;avec;1;11,7;1,8;732;2;0,117;0,018
ACTAEA1;A;totale;avec;1;13;4,4;645;3;0,13;0,044
ACTAEA1;A;totale;avec;1;11,2;6,9;581;3;0,112;0,069
ACTAEA1;A;totale;avec;1;11,5;2,5;1070;2;0,115;0,025
