"X","X1","X2","X3","X4"
"ACPAEA1",1,1,0,0
"ACPAEA2",1,1,0,0
"ACPAEA3",1,1,0,0
"ACPSEA1",1,1,0,0
"ACPSEA2",1,1,0,0
"ACPSEA3",1,1,0,0
"ACTAEA1",1,1,0,0
"ACTAEA2",1,1,0,0
"ACTAEA3",1,1,0,0
"ACTSEA1",1,1,0,0
"ACTSEA2",1,1,0,0
"ACTSEA3",1,1,0,0
"AT1",1,1,0,0
"AT2",1,1,0,0
"AT3",1,1,0,0
"BCPAEA1",1,1,0,0
"BCPAEA2",1,1,0,0
"BCPAEA3",1,1,0,0
"BCPSEA1",1,1,0,0
"BCPSEA2",1,1,0,0
"BCPSEA3",1,1,0,0
"BCTAEA1",1,1,0,0
"BCTAEA2",1,1,0,0
"BCTAEA3",1,1,0,0
"BCTSEA1",1,1,0,0
"BCTSEA2",1,1,0,0
"BCTSEA3",1,1,0,0
"BT1",1,1,0,0
"BT2",1,1,0,0
"BT3",1,1,0,0
"CCPAEA1",1,1,0,0
"CCPAEA2",1,1,0,0
"CCPAEA3",1,1,0,0
"CCPSEA1",1,1,0,0
"CCPSEA2",1,1,0,0
"CCPSEA3",1,1,0,0
"CCTAEA1",1,1,0,0
"CCTAEA2",1,1,0,0
"CCTAEA3",1,1,0,0
"CCTSEA1",1,1,0,0
"CCTSEA2",1,1,0,0
"CCTSEA3",1,1,0,0
"CT1",1,1,0,0
"CT2",1,1,0,0
"CT3",1,1,0,0
"DCPAEA1",1,1,0,0
"DCPAEA2",1,1,0,0
"DCPAEA3",1,1,0,0
"DCPSEA1",1,1,0,0
"DCPSEA2",1,1,0,0
"DCPSEA3",1,1,0,0
"DCTAEA1",1,1,0,0
"DCTAEA2",1,1,0,0
"DCTAEA3",1,1,0,0
"DCTSEA1",1,1,0,0
"DCTSEA2",1,1,0,0
"DCTSEA3",1,1,0,0
"DT1",1,1,0,0
"DT2",1,1,0,0
"DT3",1,1,0,0
