"","V1","V2","V3","V4","V5"
"1","ACTAEA1",1.1,1.1,1.1,1.1
"2","ACTAEA2",0.7,0.7,0.7,0.7
"3","ACTAEA3",0.6,0.6,0.6,0.6
"4","ACTSEA1",0.6,0.6,0.6,0.6
"5","ACTSEA2",0.7,0.7,0.7,0.7
"6","ACTSEA3",0.5,0.5,0.5,0.5
"7","ACPAEA1",2.2,2.2,2.2,2.2
"8","ACPAEA2",2.2,2.2,2.2,2.2
"9","ACPAEA3",3.2,3.2,3.2,3.2
"10","ACPSEA1",4.5,4.5,4.5,4.5
"11","ACPSEA2",3.2,3.2,3.2,3.2
"12","ACPSEA3",3.8,3.8,3.8,3.8
"13","AT1",2.3,2.3,2.3,2.3
"14","AT2",5.7,5.7,5.7,5.7
"15","AT3",5.2,5.2,5.2,5.2
"16","BCTAEA1",1.3,1.3,1.3,1.3
"17","BCTAEA2",0.9,0.9,0.9,0.9
"18","BCTAEA3",1.4,1.4,1.4,1.4
"19","BCTSEA1",2.3,2.3,2.3,2.3
"20","BCTSEA2",1.5,1.5,1.5,1.5
"21","BCTSEA3",3.2,3.2,3.2,3.2
"22","BCPAEA1",4.6,4.6,4.6,4.6
"23","BCPAEA2",6,6,6,6
"24","BCPAEA3",5.3,5.3,5.3,5.3
"25","BCPSEA1",3.4,3.4,3.4,3.4
"26","BCPSEA2",7.5,7.5,7.5,7.5
"27","BCPSEA3",4.5,4.5,4.5,4.5
"28","BT1",4.3,4.3,4.3,4.3
"29","BT2",6.4,6.4,6.4,6.4
"30","BT3",5.7,5.7,5.7,5.7
"31","CCTAEA1",2.2,2.2,2.2,2.2
"32","CCTAEA2",1.1,1.1,1.1,1.1
"33","CCTAEA3",1.1,1.1,1.1,1.1
"34","CCTSEA1",3.3,3.3,3.3,3.3
"35","CCTSEA2",0.7,0.7,0.7,0.7
"36","CCTSEA3",1,1,1,1
"37","CCPAEA1",3.1,3.1,3.1,3.1
"38","CCPAEA2",2.6,2.6,2.6,2.6
"39","CCPAEA3",1.9,1.9,1.9,1.9
"40","CCPSEA1",1.9,1.9,1.9,1.9
"41","CCPSEA2",2.8,2.8,2.8,2.8
"42","CCPSEA3",2.4,2.4,2.4,2.4
"43","CT1",3,3,3,3
"44","CT2",4.7,4.7,4.7,4.7
"45","CT3",9.4,9.4,9.4,9.4
"46","DCTAEA1",2.4,2.4,2.4,2.4
"47","DCTAEA2",2,2,2,2
"48","DCTAEA3",1.5,1.5,1.5,1.5
"49","DCTSEA1",3.3,3.3,3.3,3.3
"50","DCTSEA2",1.6,1.6,1.6,1.6
"51","DCTSEA3",3.5,3.5,3.5,3.5
"52","DCPAEA1",3.5,3.5,3.5,3.5
"53","DCPAEA2",2.9,2.9,2.9,2.9
"54","DCPAEA3",3.1,3.1,3.1,3.1
"55","DCPSEA1",3.2,3.2,3.2,3.2
"56","DCPSEA2",2,2,2,2
"57","DCPSEA3",3,3,3,3
"58","DT1",3.4,3.4,3.4,3.4
"59","DT2",5.2,5.2,5.2,5.2
"60","DT3",4.8,4.8,4.8,4.8
