"","X1","X2","X3","X4"
"ACTAEA1","1","2","3","4"
"ACTAEA2","1","2","3","4"
"ACTAEA3","1","2","3","4"
"ACTSEA1","1","2","3","4"
"ACTSEA2","1","2","3","4"
"ACTSEA3","1","2","3","4"
"ACPAEA1","1","2","3","4"
"ACPAEA2","1","2","3","4"
"ACPAEA3","1","2","3","4"
"ACPSEA1","1","2","3","4"
"ACPSEA2","1","2","3","4"
"ACPSEA3","1","2","3","4"
"AT1","1","2","3","4"
"AT2","1","2","3","4"
"AT3","1","2","3","4"
"BCTAEA1","1","2","3","4"
"BCTAEA2","1","2","3","4"
"BCTAEA3","1","2","3","4"
"BCTSEA1","1","2","3","4"
"BCTSEA2","1","2","3","4"
"BCTSEA3","1","2","3","4"
"BCPAEA1","1","2","3","4"
"BCPAEA2","1","2","3","4"
"BCPAEA3","1","2","3","4"
"BCPSEA1","1","2","3","4"
"BCPSEA2","1","2","3","4"
"BCPSEA3","1","2","3","4"
"BT1","1","2","3","4"
"BT2","1","2","3","4"
"BT3","1","2","3","4"
"CCTAEA1","1","2","3","4"
"CCTAEA2","1","2","3","4"
"CCTAEA3","1","2","3","4"
"CCTSEA1","1","2","3","4"
"CCTSEA2","1","2","3","4"
"CCTSEA3","1","2","3","4"
"CCPAEA1","1","2","3","4"
"CCPAEA2","1","2","3","4"
"CCPAEA3","1","2","3","4"
"CCPSEA1","1","2","3","4"
"CCPSEA2","1","2","3","4"
"CCPSEA3","1","2","3","4"
"CT1","1","2","3","4"
"CT2","1","2","3","4"
"CT3","1","2","3","4"
"DCTAEA1","1","2","3","4"
"DCTAEA2","1","2","3","4"
"DCTAEA3","1","2","3","4"
"DCTSEA1","1","2","3","4"
"DCTSEA2","1","2","3","4"
"DCTSEA3","1","2","3","4"
"DCPAEA1","1","2","3","4"
"DCPAEA2","1","2","3","4"
"DCPAEA3","1","2","3","4"
"DCPSEA1","1","2","3","4"
"DCPSEA2","1","2","3","4"
"DCPSEA3","1","2","3","4"
"DT1","1","2","3","4"
"DT2","1","2","3","4"
"DT3","1","2","3","4"
