"","X1","X2","X3","X4"
"ACTAEA1",0,0,1,1
"ACTAEA2",0,0,1,1
"ACTAEA3",0,0,1,1
"ACTSEA1",0,0,1,1
"ACTSEA2",0,0,1,1
"ACTSEA3",0,0,1,1
"ACPAEA1",0,0,1,1
"ACPAEA2",0,0,1,1
"ACPAEA3",0,0,1,1
"ACPSEA1",0,0,1,1
"ACPSEA2",0,0,1,1
"ACPSEA3",0,0,1,1
"AT1",0,0,1,1
"AT2",0,0,1,1
"AT3",0,0,1,1
"BCTAEA1",0,0,1,1
"BCTAEA2",0,0,1,1
"BCTAEA3",0,0,1,1
"BCTSEA1",0,0,1,1
"BCTSEA2",0,0,1,1
"BCTSEA3",0,0,1,1
"BCPAEA1",0,0,1,1
"BCPAEA2",0,0,1,1
"BCPAEA3",0,0,1,1
"BCPSEA1",0,0,1,1
"BCPSEA2",0,0,1,1
"BCPSEA3",0,0,1,1
"BT1",0,0,1,1
"BT2",0,0,1,1
"BT3",0,0,1,1
"CCTAEA1",0,0,1,1
"CCTAEA2",0,0,1,1
"CCTAEA3",0,0,1,1
"CCTSEA1",0,0,1,1
"CCTSEA2",0,0,1,1
"CCTSEA3",0,0,1,1
"CCPAEA1",0,0,1,1
"CCPAEA2",0,0,1,1
"CCPAEA3",0,0,1,1
"CCPSEA1",0,0,1,1
"CCPSEA2",0,0,1,1
"CCPSEA3",0,0,1,1
"CT1",0,0,1,1
"CT2",0,0,1,1
"CT3",0,0,1,1
"DCTAEA1",0,0,1,1
"DCTAEA2",0,0,1,1
"DCTAEA3",0,0,1,1
"DCTSEA1",0,0,1,1
"DCTSEA2",0,0,1,1
"DCTSEA3",0,0,1,1
"DCPAEA1",0,0,1,1
"DCPAEA2",0,0,1,1
"DCPAEA3",0,0,1,1
"DCPSEA1",0,0,1,1
"DCPSEA2",0,0,1,1
"DCPSEA3",0,0,1,1
"DT1",0,0,1,1
"DT2",0,0,1,1
"DT3",0,0,1,1
