"ID","Bloc","Coupe","Exclos","Analogue","CWD_tot","CWD_1","CWD_2","CWD_3","CWD_4"
"ACTAEA1","A","totale","avec","1",0.160640684859158,0.0114873078878642,0.0598813532954087,0.0677272463070571,0.0215447773688277
"ACTAEA2","A","totale","avec","2",0.151050155637614,NA,0.0677307780517448,0.0742064027601283,0.00911297482574078
"ACTAEA3","A","totale","avec","3",0.108720585387295,NA,0.0421978292589385,0.0557208460370401,0.0108019100913163
"ACTSEA1","A","totale","sans","1",0.113604961888916,NA,0.0141590858322709,0.0597558903067441,0.0396899857499013
"ACTSEA2","A","totale","sans","2",0.0638168605900588,0.00487220087415247,0.0155374032708947,0.0113307849399886,0.032076471505023
"ACTSEA3","A","totale","sans","3",0.0834096275561525,NA,0.030416009057241,0.0227100876115525,0.0302835308873591
"ACPAEA1","A","partielle","avec","1",0.0597476268108272,NA,0.0349005453628744,0.0248470814479528,NA
"ACPAEA2","A","partielle","avec","2",0.0552537018156937,0.00240816775473151,0.0335628375288242,0.0192826965321379,NA
"ACPAEA3","A","partielle","avec","3",0.0222891756563287,NA,0.00994723093882695,0.0123419447175018,NA
"ACPSEA1","A","partielle","sans","1",0.0828550740893108,NA,0.0216893148828455,0.0127544536158799,0.0484113055905854
"ACPSEA2","A","partielle","sans","2",0.0163724488642809,NA,0.00476360851638645,0.00891993770117807,0.00268890264671639
"ACPSEA3","A","partielle","sans","3",0.0337174829822389,NA,0.0105476550118199,0.0147797838882054,0.00839004408221368
"AT1","A","temoin","temoin","temoin",0.14271303012189,0.0400163551598679,0.025922845494314,0.0767738294677079,NA
"AT2","A","temoin","temoin","temoin",0.0517035964747665,NA,0.0114078593454454,0.0325642145186503,0.00773152261067084
"AT3","A","temoin","temoin","temoin",0.0975320195128321,NA,0.00994072832366541,0.0365607058704468,0.05103058531872
"BCTAEA1","B","totale","avec","1",0.0541092149998558,0.0114454171943273,0.00797269058271918,0.0111821191036584,0.0235089881191509
"BCTAEA2","B","totale","avec","2",0.182339515501942,0.00966373158207492,0.085684235872171,0.0562963241827095,0.0272047532774992
"BCTAEA3","B","totale","avec","3",0.161814167741584,0.011527300162112,0.0673754977736348,0.0580649417795249,0.0248464280263127
"BCTSEA1","B","totale","sans","1",0.038461976898357,NA,0.00975731280497855,0.0174678381293658,0.0112368259640127
"BCTSEA2","B","totale","sans","2",0.082855207975066,NA,0.021382828977048,0.0454426558441475,0.0160297231538706
"BCTSEA3","B","totale","sans","3",0.0374745590661137,NA,NA,0.0092757808003999,0.0281987782657138
"BCPAEA1","B","partielle","avec","1",0.0434858857009812,NA,0.0127674074230219,0.00411290326979788,0.0266055750081614
"BCPAEA2","B","partielle","avec","2",0.0297056626281895,NA,0.00594186465324786,0.0160802985087097,0.00768349946623195
"BCPAEA3","B","partielle","avec","3",0.016061332900371,NA,NA,0.00839424133728448,0.00766709156308657
"BCPSEA1","B","partielle","sans","1",0.0222489131541082,NA,0.00850879444940661,0.0113232489879748,0.00241686971672681
"BCPSEA2","B","partielle","sans","2",0.0193366251159727,NA,0.0101195757610768,0.00725436566714295,0.00196268368775296
"BCPSEA3","B","partielle","sans","3",0.0346031038349592,NA,0.0130107906744545,0.018554536972774,0.00303777618773065
"BT1","B","temoin","temoin","temoin",0.0146489351107028,0.00437661509356132,0.00483844546277822,NA,0.0054338745543633
"BT2","B","temoin","temoin","temoin",0.0282172785239114,0.00369248948519,0.0105004328394434,NA,0.014024356199278
"BT3","B","temoin","temoin","temoin",0.0990065515526411,NA,0.00406399464522607,0.053889144924076,0.041053411983339
"CCTAEA1","C","totale","avec","1",0.0665823213627477,NA,NA,0.0276700806468815,0.0389122407158662
"CCTAEA2","C","totale","avec","2",0.0571746373078082,NA,0.0011780098277794,0.032535771731624,0.0234608557484048
"CCTAEA3","C","totale","avec","3",0.0523021225105972,NA,0.025263370729082,0.0163334291539857,0.0107053226275296
"CCTSEA1","C","totale","sans","1",0.0627810692628209,NA,0.0216632847776061,0.0065177580874073,0.0346000263978075
"CCTSEA2","C","totale","sans","2",0.0624489133391863,NA,0.0337697999341573,0.0274793814247138,0.0011997319803152
"CCTSEA3","C","totale","sans","3",0.0839561085431371,0.00658259637310054,0.00673673962991549,0.0454592654046832,0.0251775071354378
"CCPAEA1","C","partielle","avec","1",0.0161136997020333,NA,0.00233140706521532,0.0115716548009542,0.00221063783586383
"CCPAEA2","C","partielle","avec","2",0.00651723451715874,NA,0.0018411023601784,0.00467613215698034,NA
"CCPAEA3","C","partielle","avec","3",0.0147697096408748,NA,0.00824718607159772,0.00652252356927708,NA
"CCPSEA1","C","partielle","sans","1",0.0137093210591783,NA,0.00723241946573376,0.00647690159344458,NA
"CCPSEA2","C","partielle","sans","2",0.0301957353571386,NA,0.00627983217607407,0.0200264348708908,0.00388946831017373
"CCPSEA3","C","partielle","sans","3",0.0137428009434771,NA,0.00489422865037278,0.00600171404633251,0.00284685824677177
"CT1","C","temoin","temoin","temoin",0.0518730300038394,NA,NA,0.0215239139977022,0.0303491160061372
"CT2","C","temoin","temoin","temoin",0.0352881881236428,NA,0.0142320901619088,0.00761698463795629,0.0134391133237777
"CT3","C","temoin","temoin","temoin",0.11769461073534,NA,0.0124102356532167,0.102984520594684,0.00229985448743908
"DCTAEA1","D","totale","avec","1",0.128847869394828,0.00121368264117658,0.0414186235367299,0.027213167768418,0.0590023954485039
"DCTAEA2","D","totale","avec","2",0.226461221771413,NA,0.0547027674208798,0.0773739108533482,0.0943845434971848
"DCTAEA3","D","totale","avec","3",0.071371158364979,NA,0.0117384041787299,0.0353560340933828,0.0242767200928663
"DCTSEA1","D","totale","sans","1",0.150914271596221,NA,0.015081858685916,0.0604380134668261,0.0753943994434789
"DCTSEA2","D","totale","sans","2",0.143414641602146,NA,0.0136042009090913,0.0526352439120183,0.0771751967810366
"DCTSEA3","D","totale","sans","3",0.106167161410772,NA,0.010511608812348,0.0202895732665198,0.075365979331904
"DCPAEA1","D","partielle","avec","1",0.185683269736544,NA,0.0516531454138351,0.102697394353087,0.0313327299696222
